B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
9/3/71,12/18/14,15:32,27.73,86.52,5.9,NSC,Solukhumbu
9/22/71,1/6/15,1:26,29.07,81.51,4.5,NSC,Dailekh
10/8/71,1/22/15,9:27,29.36,81.03,4.4,RSC,Doti
10/17/71,1/31/15,19:44,28.29,83.73,5.5,NSC,Kaski
11/2/71,2/14/15,22:51,27.42,87.01,4.5,NSC,Bhojpur
1/8/72,4/21/15,19:52,28.85,82.18,5.1,NSC,Jajarkot
1/9/72,4/22/15,7:14,28.8,81.92,4.5,NSC,Jajarkot
1/10/72,4/23/15,1:57,28.4,83.99,4.1,NSC,Kaski
1/12/72,4/25/15,22:31,27.8,85.29,4,NSC,Nuwakot
1/12/72,4/25/15,22:12,27.92,85.64,5.3,NSC,Sindhupalchowk
1/12/72,4/25/15,21:02,27.95,85.56,4.2,NSC,Sindhupalchowk
1/12/72,4/25/15,20:36,28.14,85.16,4.4,NSC,Rasuwa
1/12/72,4/25/15,20:25,27.73,85.9,5,NSC,Sindhupalchowk
1/12/72,4/25/15,20:08,28.05,85.25,4.1,NSC,Rasuwa
1/12/72,4/25/15,19:55,27.73,85.9,4.7,NSC,Sindhupalchowk
1/12/72,4/25/15,19:21,27.69,86.02,4.9,NSC,Dolakha
1/12/72,4/25/15,19:47,27.68,85.32,4.1,NSC,Kathmandu
1/12/72,4/25/15,23:19,27.77,85.83,4.1,NSC,Sindhupalchowk
1/12/72,4/25/15,23:24,27.9,85.53,4,NSC,Sindhupalchowk
1/12/72,4/25/15,20:21,27.6,86.09,4.5,NSC,Dolakha
1/12/72,4/25/15,12:39,27.82,86.05,4.5,NSC,Dolakha
1/12/72,4/25/15,23:27,28.34,85.91,5.6,NSC,Tibet
1/12/72,4/25/15,7:47,27.99,85.71,5.1,NSC,Tibet
1/12/72,4/25/15,6:38,28.41,85.8,5.5,NSC,Tibet
1/12/72,4/25/15,23:46,27.78,85.98,4.1,NSC,Sindhupalchowk
1/12/72,4/25/15,23:40,28.1,85.27,4,NSC,Rasuwa
1/12/72,4/25/15,23:25,27.78,85.17,4,NSC,Nuwakot
1/12/72,4/25/15,13:53,27.79,85.16,4.1,NSC/RSC,Nuwakot
1/12/72,4/25/15,13:30,28.1,85.2,4.7,NSC/RSC,Rasuwa
1/12/72,4/25/15,8:20,27.9,84.86,5.1,NSC/RSC,Dhading
1/12/72,4/25/15,8:17,27.78,85.84,5.2,NSC/RSC,Sindhupalchowk
1/12/72,4/25/15,7:08,28.2,85.75,5.3,NSC/RSC,Rasuwa
1/12/72,4/25/15,6:56,28.13,85.65,5.7,NSC/RSC,Rasuwa
1/12/72,4/25/15,6:45,28.28,84.72,6.6,NSC/RSC,Gorkha
1/12/72,4/25/15,6:11,28.24,84.75,7.6,NSC/RSC,Gorkha
1/12/72,4/25/15,10:23,27.87,85.8,4.1,NSC,Sindhupalchowk
1/12/72,4/25/15,9:43,28.29,85.16,4.6,NSC,Rasuwa
1/12/72,4/25/15,8:29,28.18,84.95,5.2,NSC/RSC,Gorkha
1/12/72,4/25/15,8:55,27.65,85.63,5.7,NSC/RSC,Kabre
1/12/72,4/25/15,9:03,27.91,85.33,5.3,NSC/RSC,Nuwakot
1/12/72,4/25/15,12:44,28.16,84.71,5.5,NSC/RSC,Gorkha
1/12/72,4/25/15,12:17,28,85.4,4.9,NSC/RSC,Nuwakot
1/12/72,4/25/15,11:41,28.14,85.28,4.1,NSC/RSC,Rasuwa
1/12/72,4/25/15,11:05,27.91,85.5,4.6,NSC/RSC,Sindhupalchowk
1/12/72,4/25/15,10:40,27.86,85.85,4,NSC/RSC,Sindhupalchowk
1/12/72,4/25/15,16:08,27.87,85.8,4.1,NSC/RSC,Sindhupalchowk
1/12/72,4/25/15,15:28,28.29,85.16,4.6,NSC/RSC,Rasuwa
1/12/72,4/25/15,9:30,28,85.6,5.5,NSC/RSC,Sindhupalchowk
1/13/72,4/26/15,14:25,27.79,86,4.8,NSC,Sindhupalchowk
1/13/72,4/26/15,13:22,27.94,86.05,5,NSC,Tibet
1/13/72,4/26/15,13:12,27.75,85.94,5.3,NSC,Sindhupalchowk
1/13/72,4/26/15,12:54,27.84,86.05,6.9,NSC,Dolakha
1/13/72,4/26/15,10:43,28.26,85.02,4.8,NSC,Gorkha
1/13/72,4/26/15,10:35,28.04,85.5,4.5,NSC,Sindhupalchowk
1/13/72,4/26/15,9:06,27.64,85.63,5,NSC,Kavre
1/13/72,4/26/15,14:31,27.97,85.81,4.5,NSC,Sindhupalchowk
1/13/72,4/26/15,15:27,27.77,85.91,4.5,NSC,Sindhupalchowk
1/13/72,4/26/15,18:56,27.89,85.6,5,NSC,Sindhupalchowk
1/13/72,4/26/15,19:08,27.68,85.95,4,NSC,Dolakha
1/13/72,4/26/15,20:17,27.79,85.15,4,NSC,Nuwakot
1/13/72,4/26/15,20:29,27.72,85.97,4.5,NSC,Sindhupalchowk
1/13/72,4/26/15,20:42,28.31,84.97,4.5,NSC,Gorkha
1/13/72,4/26/15,21:47,27.65,85.97,4,NSC,Dolakha
1/13/72,4/26/15,22:08,27.67,85.3,4,NSC,Kathmandu
1/13/72,4/26/15,8:55,27.8,85.16,5.1,NSC,Nuwakot
1/13/72,4/26/15,8:43,28.32,84.73,4.5,NSC,Gorkha
1/13/72,4/26/15,6:16,27.84,85.12,4,NSC,Nuwakot
1/13/72,4/26/15,0:43,27.71,85.43,4.6,NSC,Kathmandu
1/13/72,4/26/15,1:29,27.93,85.56,4.1,NSC,Sindhupalchowk
1/13/72,4/26/15,1:49,28.05,85.35,4,NSC,Rasuwa
1/13/72,4/26/15,1:52,28.14,84.71,4.2,NSC,Gorkha
1/13/72,4/26/15,1:56,27.93,85.56,4.4,NSC,Sindhupalchowk
1/13/72,4/26/15,2:08,28.25,85.83,4,NSC,Rasuwa
1/13/72,4/26/15,2:14,28.24,84.82,4.3,NSC,Gorkha
1/13/72,4/26/15,2:17,27.6,85.96,4.8,NSC,Sindhupalchowk
1/13/72,4/26/15,2:49,27.98,84.99,4,NSC,Gorkha
1/13/72,4/26/15,2:52,27.82,85.8,4.8,NSC,Sindhupalchowk
1/13/72,4/26/15,5:01,27.99,85.02,5.5,NSC,Nuwakot
1/13/72,4/26/15,5:25,27.69,85.25,4,NSC,Kathmandu
1/13/72,4/26/15,5:26,27.67,86.07,4.5,NSC,Dolakha
1/13/72,4/26/15,5:32,28.05,85.34,4,NSC,Rasuwa
1/13/72,4/26/15,6:00,27.67,85.28,4,NSC,Kathmandu
1/13/72,4/26/15,0:14,27.94,85.55,4.1,NSC,Sindhupalchowk
1/13/72,4/26/15,22:10,27.95,85.87,5.3,NSC,Sindhupalchowk
1/13/72,4/26/15,22:42,27.83,86.06,4,NSC,Dolakha
1/13/72,4/26/15,23:51,27.91,85.55,4.2,NSC,Sindhupalchowk
1/14/72,4/27/15,23:30,28.19,85.03,4,NSC,Dhading
1/14/72,4/27/15,22:39,27.82,85.89,4.2,NSC,Sindhupalchowk
1/14/72,4/27/15,21:36,27.67,85.29,4.5,NSC,Kathmandu
1/14/72,4/27/15,15:17,27.8,85.12,4,NSC,Nuwakot
1/14/72,4/27/15,10:05,27.93,85.86,4,NSC,Sindhupalchowk
1/14/72,4/27/15,9:59,28.24,85.23,4.3,NSC,Rasuwa
1/14/72,4/27/15,8:18,27.67,85.55,4.2,NSC,Kavrepalanchowk
1/14/72,4/27/15,6:24,27.77,85.12,4.7,NSC,Nuwakot
1/14/72,4/27/15,0:39,28.26,85.1,4.5,NSC,Rasuwa
1/14/72,4/27/15,3:37,27.75,85.2,4.1,NSC,Kathmandu
1/14/72,4/27/15,4:15,27.56,85.73,4.2,NSC,Kavrepalanchowk
1/14/72,4/27/15,4:17,27.57,85.74,4.5,NSC,Kavrepalanchowk
1/14/72,4/27/15,4:27,27.82,85.76,4.4,NSC,Sindhupalchowk
1/15/72,4/28/15,22:07,28.2,84.78,4,NSC,Gorkha
1/15/72,4/28/15,17:03,27.88,85.88,4.2,NSC,Sindhupalchowk
1/15/72,4/28/15,16:44,27.78,85.17,4,NSC,Nuwakot
1/15/72,4/28/15,15:10,27.83,85.83,4,NSC,Sindhupalchowk
1/15/72,4/28/15,12:08,27.96,85.55,4,NSC,Sindhupalchowk
1/15/72,4/28/15,8:40,27.76,85.8,4,NSC,Sindhupalchowk
1/15/72,4/28/15,7:45,27.81,86.09,4.2,NSC,Dolakha
1/15/72,4/28/15,5:05,28.1,85.49,4.9,NSC,Sindhupalchowk
1/15/72,4/28/15,4:11,28.1,84.65,4.2,NSC,Gorkha
1/15/72,4/28/15,3:12,27.89,85.76,4.2,NSC,Sindhupalchowk
1/15/72,4/28/15,2:59,27.92,85.51,4.2,NSC,Sindhupalchowk
1/15/72,4/28/15,0:44,28.29,84.93,4.8,NSC,Gorkha
1/16/72,4/29/15,23:01,28.19,84.8,4.4,NSC,Gorkha
1/16/72,4/29/15,17:12,27.95,85.52,4.5,NSC,Sindhupalchowk
1/16/72,4/29/15,15:24,27.86,84.89,4.5,NSC,Dhading
1/16/72,4/29/15,13:17,28.04,85.37,4,NSC,Nuwakot
1/16/72,4/29/15,5:54,27.79,85.14,4.2,NSC,Nuwakot
1/16/72,4/29/15,4:49,27.93,85.63,4,NSC,Sindhupalchowk
1/17/72,4/30/15,23:19,27.92,85.87,4.3,NSC,Sindhupalchowk
1/17/72,4/30/15,13:29,27.65,86.09,4.1,NSC,Dolakha
1/17/72,4/30/15,8:31,28.05,85.34,4.7,NSC,Rasuwa
1/17/72,4/30/15,6:22,27.93,84.83,4.7,NSC,Dhading
1/18/72,5/1/15,23:59,28.04,85.32,4,NSC,Rasuwa
1/18/72,5/1/15,20:27,27.88,85.87,4.2,NSC,Sindhupalchowk
1/18/72,5/1/15,17:37,27.74,85.99,4,NSC,Dolakha
1/18/72,5/1/15,11:28,28.04,85.33,4.5,NSC,Rasuwa
1/18/72,5/1/15,10:35,27.75,85.95,4,NSC,Sindhupalchowk
1/18/72,5/1/15,2:56,27.68,85.3,4,NSC,Kathmandu
1/18/72,5/1/15,0:58,27.7,85.98,4.2,NSC,Dolakha
1/19/72,5/2/15,21:01,27.66,86.01,4.1,NSC,Dolakha
1/19/72,5/2/15,11:20,28.24,84.76,5.1,NSC,Gorkha
1/19/72,5/2/15,11:13,27.72,85.74,4,NSC,Sindhupalchowk
1/19/72,5/2/15,9:32,27.93,85.5,4.2,NSC,Sindhupalchowk
1/19/72,5/2/15,5:55,27.74,86.28,4.3,NSC,Dolakha
1/19/72,5/2/15,3:55,27.95,85.73,4.2,NSC,Sindhupalchowk
1/20/72,5/3/15,20:27,28.09,85.72,4.2,NSC,Sindhupalchowk
1/20/72,5/3/15,18:58,27.89,85.73,4,NSC,Sindhupalchowk
1/20/72,5/3/15,17:20,27.8,85.11,4.9,NSC,Nuwakot
1/20/72,5/3/15,10:46,27.94,84.83,4.5,NSC,Dhading
1/20/72,5/3/15,8:00,27.98,84.87,4.1,NSC,Dhading
1/20/72,5/3/15,5:47,28.08,85.04,4,NSC,Gorkha
1/20/72,5/3/15,22:39,28.05,84.94,4,NSC,Dhading
1/20/72,5/3/15,3:29,27.69,85.93,4.5,NSC,Sindhupalchowk
1/21/72,5/4/15,18:02,27.74,86,4.2,NSC,Dolakha
1/21/72,5/4/15,13:17,28.12,84.8,4,NSC,Gorkha
1/21/72,5/4/15,15:40,27.95,85.86,4.4,NSC,Sindhupalchowk
1/21/72,5/4/15,14:34,27.79,86.23,4.7,NSC,Dolakha
1/21/72,5/4/15,10:36,27.8,85.16,4.1,NSC,Nuwakot
1/21/72,5/4/15,10:33,27.79,85.16,4,NSC,Nuwakot
1/21/72,5/4/15,9:54,27.97,85.21,4.2,NSC,Nuwakot
1/21/72,5/4/15,7:00,27.69,85.99,4.3,NSC,Dolakha
1/21/72,5/4/15,4:59,27.75,85.87,4.2,NSC,Sindhupalchowk
1/22/72,5/5/15,17:00,27.96,86,4.2,NSC,Sindhupalchowk
1/22/72,5/5/15,16:23,27.74,86.03,4.3,NSC,Dolakha
1/22/72,5/5/15,6:39,28.06,85.05,4,NSC,Dhading
1/23/72,5/6/15,18:02,28.01,84.68,4.2,NSC,Gorkha
1/23/72,5/6/15,22:19,28.04,85.26,4,NSC,Rasuwa
1/24/72,5/7/15,3:41,27.75,85.19,4.2,NSC,Nuwakot
1/24/72,5/7/15,7:56,27.79,85.16,4,NSC,Nuwakot
1/24/72,5/7/15,22:15,27.92,85.46,4,NSC,Nuwakot
1/25/72,5/8/15,15:05,28.01,85.41,4.2,NSC,Nuwakot
1/25/72,5/8/15,13:32,27.77,85.88,4.8,NSC,Sindhupalchowk
1/25/72,5/8/15,8:19,27.75,85.91,4.2,NSC,Sindhupalchowk
1/25/72,5/8/15,6:17,27.69,86.04,5,NSC,Dolakha
1/25/72,5/8/15,2:19,27.94,85.58,4,NSC,Sindhupalchowk
1/26/72,5/9/15,3:08,28.04,85.2,4.1,NSC,Rasuwa
1/27/72,5/10/15,1:50,28.04,85.96,4.2,NSC,Tibet
1/27/72,5/10/15,6:34,27.88,86,4.4,NSC,Sindhupalchowk
1/27/72,5/10/15,2:44,26.94,86.67,4,NSC,Udayapur
1/27/72,5/10/15,11:08,28.02,85.25,4,NSC,Rasuwa
1/27/72,5/10/15,15:23,27.65,85.56,4.2,NSC,kavre
1/28/72,5/11/15,23:54,27.91,85.75,4,NSC,Sindhupalchowk
1/28/72,5/11/15,20:35,27.99,85.86,4.2,NSC,Sindhupalchowk
1/29/72,5/12/15,15:49,27.68,86.03,4.4,NSC,Dolakha
1/29/72,5/12/15,16:00,27.57,86.29,4.8,NSC,Ramechhap
1/29/72,5/12/15,16:16,27.69,86.05,4.2,NSC,Dolakha
1/29/72,5/12/15,16:20,27.73,86.11,5,NSC,Dolakha
1/29/72,5/12/15,16:26,27.76,86.24,4.4,NSC,Dolakha
1/29/72,5/12/15,16:51,27.62,86.16,4.7,NSC,Dolakha
1/29/72,5/12/15,17:06,27.72,86.2,4.6,NSC,Dolakha
1/29/72,5/12/15,18:53,27.72,85.97,4,NSC,Dolakha
1/29/72,5/12/15,17:43,27.71,86,4.3,NSC,Dolakha
1/29/72,5/12/15,18:13,27.7,86.04,4.7,NSC,Dolakha
1/29/72,5/12/15,19:28,27.78,85.85,4.3,NSC,Sindhupalchowk
1/29/72,5/12/15,19:42,27.84,86.23,4.4,NSC,Dolakha
1/29/72,5/12/15,20:44,28.03,86.36,4.1,NSC,Tibet
1/29/72,5/12/15,21:13,27.97,86.45,4.8,NSC,Tibet
1/29/72,5/12/15,18:47,27.89,85.88,4.4,NSC,Sindhupalchowk
1/29/72,5/12/15,22:17,27.68,86.04,4.2,NSC,Dolakha
1/29/72,5/12/15,23:13,27.58,86.41,4.3,NSC,Ramechhap
1/29/72,5/12/15,15:29,27.8,85.95,4.2,NSC,Sindhupalchowk
1/29/72,5/12/15,15:14,27.7,86.01,4.2,NSC,Dolakha
1/29/72,5/12/15,0:07,28.1,84.91,4,NSC,Dhading
1/29/72,5/12/15,2:08,28.16,84.9,4.1,NSC,Gorkha
1/29/72,5/12/15,12:50,27.82,86.12,6.8,NSC/RSC,Dolakha
1/29/72,5/12/15,13:21,27.73,86.21,6.2,NSC/RSC,Dolakha
1/29/72,5/12/15,13:58,27.8,85.83,5.3,NSC,Sindhupalchowk
1/29/72,5/12/15,14:44,27.76,86.31,5.3,NSC,Dolakha
1/29/72,5/12/15,13:02,27.84,86.17,5.8,NSC,Dolakha
1/29/72,5/12/15,13:28,27.69,86.24,5,NSC,Dolakha
1/29/72,5/12/15,13:33,27.63,86.17,4.8,NSC,Dolakha
1/29/72,5/12/15,13:46,27.68,86.04,4.3,NSC,Dolakha
1/29/72,5/12/15,14:47,27.8,86.12,4.7,NSC,Dolakha
1/29/72,5/12/15,14:24,27.69,86.21,4.7,NSC,Dolakha
1/29/72,5/12/15,14:20,27.68,86.23,4.7,NSC,Dolakha
1/29/72,5/12/15,14:19,27.88,85.94,4.8,NSC,Sindhupalchowk
1/29/72,5/12/15,14:09,27.79,86.11,5,NSC,Dolakha
1/29/72,5/12/15,14:06,27.66,86.17,5.2,NSC,Dolakha
1/29/72,5/12/15,13:51,27.8,85.94,5.1,NSC,Sindhupalchowk
1/30/72,5/13/15,12:38,27.68,86.17,5.1,NSC,Dolakha
1/30/72,5/13/15,14:30,27.6,86.16,4.3,NSC,Dolakha
1/30/72,5/13/15,15:37,27.85,86.29,4,NSC,Dolakha
1/30/72,5/13/15,3:42,27.85,85.92,4.2,NSC,Sindhupalchowk
1/30/72,5/13/15,16:44,27.63,86.17,4.5,NSC,Dolakha
1/30/72,5/13/15,21:21,27.64,85.7,4,NSC,Kavrepalanchok
1/30/72,5/13/15,21:36,27.7,86.15,4.1,NSC,Dolakha
1/30/72,5/13/15,12:34,27.84,86.25,4.6,NSC,Dolakha
1/30/72,5/13/15,12:22,27.79,86.07,4.8,NSC,Dolakha
1/30/72,5/13/15,2:07,27.68,85.3,4.2,NSC,Kathmandu
1/30/72,5/13/15,3:10,27.91,84.82,5.9,NSC,Dhading
1/30/72,5/13/15,4:38,27.82,86.47,4.3,NSC,Dolakha
1/30/72,5/13/15,8:08,27.65,86.18,4.4,NSC,Dolakha
1/30/72,5/13/15,8:28,27.75,86.25,4.4,NSC,Dolakha
1/30/72,5/13/15,10:33,27.79,86.19,4.6,NSC,Dolakha
1/30/72,5/13/15,12:11,27.69,86.11,4.7,NSC,Sindhupalchowk
1/31/72,5/14/15,21:40,27.84,85.84,4,NSC,Sindhupalchowk
1/31/72,5/14/15,20:50,27.71,86.04,4,NSC,Dolakha
1/31/72,5/14/15,20:21,28.06,85.35,4.5,NSC,Rasuwa
1/31/72,5/14/15,19:43,27.75,86.14,4,NSC,Dolakha
1/31/72,5/14/15,15:20,27.62,86.09,4.2,NSC,Dolakha
1/31/72,5/14/15,9:06,27.83,86.15,4.5,NSC,Dolakha
1/31/72,5/14/15,8:52,27.8,85.82,4,NSC,Sindhupalchowk
1/31/72,5/14/15,3:23,27.67,86.08,5,NSC,Dolakha
1/31/72,5/14/15,3:13,27.66,86.07,4.1,NSC,Dolakha
1/31/72,5/14/15,0:16,27.92,86.31,4.3,NSC,Dolakha
2/1/72,5/15/15,22:58,27.74,86.17,4,NSC,Dolakha
2/1/72,5/15/15,15:09,27.61,86.2,4.5,NSC,Dolakha
2/1/72,5/15/15,10:51,27.92,84.84,4,NSC,Dhading
2/1/72,5/15/15,7:27,27.93,84.84,5.5,NSC,Dhading
2/1/72,5/15/15,4:06,27.69,86.08,4.3,NSC,Dolakha
2/1/72,5/15/15,3:38,27.63,86.25,4.1,NSC,Dolakha
2/2/72,5/16/15,20:44,27.64,86.14,4.3,NSC,Dolakha
2/2/72,5/16/15,17:19,27.6,86.26,5.5,NSC,Dolakha
2/2/72,5/16/15,9:35,27.45,85.31,4.2,NSC,Lalitpur
2/2/72,5/16/15,9:24,27.7,85.85,4.2,NSC,Sindhupalchowk
2/2/72,5/16/15,6:31,28.13,84.89,4,NSC,Gorkha
2/2/72,5/16/15,6:11,27.97,85.48,4,NSC,Nuwakot
2/2/72,5/16/15,4:38,27.66,86.09,4.1,NSC,Dolakha
2/2/72,5/16/15,4:28,27.65,86.12,4.1,NSC,Dolakha
2/2/72,5/16/15,2:15,28.07,84.7,4,NSC,Gorkha
2/3/72,5/17/15,5:00,27.73,86.06,4.4,NSC,Dolakha
2/3/72,5/17/15,11:30,27.48,85.87,4.6,NSC,Ramechhap
2/3/72,5/17/15,20:40,27.84,86.24,4.4,NSC,Dolakha
2/4/72,5/18/15,11:24,27.69,86.26,4,NSC,Dolakha
2/4/72,5/18/15,18:27,28.11,84.88,4.1,NSC,Dhading
2/4/72,5/18/15,9:11,27.71,86.07,4.2,NSC,Dolakha
2/5/72,5/19/15,4:34,27.66,86.03,4.3,NSC,Dolakha
2/5/72,5/19/15,11:29,27.9,85.99,4,NSC,Sindhupalchowk
2/5/72,5/19/15,16:44,27.92,86.04,4.2,NSC,Sindhupalchowk
2/6/72,5/20/15,11:10,27.84,86.33,4.2,NSC,Dolakha
2/6/72,5/20/15,14:47,27.52,85.26,4.4,NSC,Lalitput
2/7/72,5/21/15,19:30,28.02,84.98,4,NSC,Dhading
2/7/72,5/21/15,14:56,27.93,85.46,4,NSC,Nuwakot
2/7/72,5/21/15,14:11,27.85,86.32,4.2,NSC,Dolakha
2/8/72,5/22/15,14:45,27.79,85.14,4.2,NSC,Nuwakot
2/8/72,5/22/15,16:44,28.05,85.08,4.8,NSC,Nuwakot
2/8/72,5/22/15,17:30,27.63,86.25,4.1,NSC,Dolakha
2/8/72,5/22/15,18:49,27.78,85.93,4,NSC,Sindhupalchowk
2/8/72,5/22/15,20:44,27.69,86.16,4.1,NSC,Dolakha
2/8/72,5/22/15,19:07,30.31,81.47,4.8,NSC,Humla
2/9/72,5/23/15,22:26,27.9,85.51,4.4,NSC,Sindhupalchowk
2/9/72,5/23/15,13:14,27.74,86.2,4.2,NSC,Dolakha
2/10/72,5/24/15,7:06,27.67,86.18,4.2,NSC,Dolakha
2/10/72,5/24/15,10:38,27.76,86.28,4.4,NSC,Dolakha
2/10/72,5/24/15,11:46,27.84,86,4.2,NSC,Sindhupalchowk
2/10/72,5/24/15,12:55,27.8,86.29,4.4,NSC,Dolakha
2/10/72,5/24/15,23:15,27.76,86.26,4.3,NSC,Dolakha
2/11/72,5/25/15,22:16,27.74,86.19,4.4,NSC,Dolakha
2/11/72,5/25/15,11:00,27.71,86.07,4.1,NSC,Dolakha
2/11/72,5/25/15,3:23,28.01,84.68,5,NSC,Gorkha
2/12/72,5/26/15,14:11,27.84,86.24,4.3,NSC,Dolakha
2/12/72,5/26/15,17:48,27.63,86.3,4.1,NSC,Dolakha
2/12/72,5/26/15,18:39,27.71,86.05,4.1,NSC,Dolakha
2/12/72,5/26/15,20:00,27.54,85.43,4.3,NSC,Lalitpur
2/12/72,5/26/15,22:52,28.02,85.26,5,NSC,Rasuwa
2/13/72,5/27/15,22:29,28.04,85.13,4.2,NSC,Nuwakot
2/13/72,5/27/15,13:16,27.89,85.53,4.6,NSC,Sindhupalchowk
2/13/72,5/27/15,13:15,27.91,85.53,4.5,NSC,Sindhupalchowk
2/13/72,5/27/15,12:03,27.59,86.2,4.2,NSC,Dolakha
2/14/72,5/28/15,22:16,27.94,85.54,4,NSC,Sindhupalchowk
2/14/72,5/28/15,12:14,27.59,86.16,4.1,NSC,Dolakha
2/14/72,5/28/15,11:36,27.59,86.19,4.2,NSC,Dolakha
2/14/72,5/28/15,5:29,27.77,86.25,4.2,NSC,Dolakha
2/14/72,5/28/15,5:12,27.64,85.31,4,NSC,Kathmandu
2/14/72,5/28/15,3:40,27.95,84.8,4,NSC,Dhading
2/14/72,5/28/15,3:07,27.99,84.79,4,NSC,Dhading
2/15/72,5/29/15,0:37,27.82,86.34,4.2,NSC,Dolakha
2/15/72,5/29/15,5:20,28.07,84.94,4.2,NSC,Dhading
2/15/72,5/29/15,8:30,28.17,84.72,4,NSC,Gorkha
2/15/72,5/29/15,12:30,28.01,84.84,4.8,NSC,Dhading
2/15/72,5/29/15,15:44,28,84.98,5.2,NSC,Dhading
2/16/72,5/30/15,22:13,27.79,85.17,4.5,NSC,Nuwakot
2/16/72,5/30/15,20:35,28.01,85.19,4,NSC,Rasuwa
2/16/72,5/30/15,1:52,27.75,85.21,4,NSC,Dhading
2/17/72,5/31/15,13:54,28.29,84.46,4.2,NSC,Lamjung
2/18/72,6/1/15,22:50,27.98,85.51,4,NSC,Sindhupalchowk
2/19/72,6/2/15,5:03,27.78,86.2,4,NSC,Dolakha
2/19/72,6/2/15,20:33,30,81.75,4.7,NSC/RSC,Humla
2/20/72,6/3/15,11:53,27.7,86.26,4.5,NSC,Dolakha
2/20/72,6/3/15,8:54,27.76,86.07,4.2,NSC,Dolakha
2/20/72,6/3/15,7:52,27.79,85.87,4.5,NSC,Sindhupalchowk
2/20/72,6/3/15,21:00,27.84,85.78,4.1,NSC,Sindhupalchowk
2/21/72,6/4/15,10:30,27.76,86.2,4,NSC,Dolakha
2/22/72,6/5/15,4:17,27.79,85.78,4.1,NSC,Sindhupalchowk
2/22/72,6/5/15,8:31,27.7,85.22,4,NSC,Kathmandu
2/23/72,6/6/15,17:00,27.58,86.18,4,NSC,Dolakha
2/23/72,6/6/15,20:48,28.26,85.86,4.2,NSC,Tibet
2/24/72,6/7/15,5:17,27.9,85.64,4.6,NSC,Sindhupalchowk
2/24/72,6/7/15,16:50,27.87,86.13,4.1,NSC,Dolakha
2/27/72,6/10/15,21:05,27.87,85.81,4.1,NSC,Sindhupalchowk
2/27/72,6/10/15,7:51,27.8,85.61,4.3,NSC,Sindhupalchowk
2/27/72,6/10/15,9:06,27.62,86.1,4.2,NSC,Dolakha
2/28/72,6/11/15,16:12,27.96,85.73,5.3,NSC,Sindhupalchowk
2/28/72,6/11/15,4:17,27.8,85.78,4.6,NSC,Sindhupalchowk
2/28/72,6/11/15,18:41,27.67,86.07,4,NSC,Dolakha
2/29/72,6/12/15,19:37,28.21,84.81,4.6,NSC,Gorkha
2/29/72,6/12/15,4:34,27.67,86.09,4.4,NSC,Dolakha
2072-2-30,6/13/15,1:18,27.73,86.16,5.2,NSC,Dolakha
2072-2-31,6/14/15,9:16,27.74,86.26,4.1,NSC,Dolakha
2072-2-31,6/14/15,0:14,27.8,85.15,4.2,NSC,Nuwakot
2072-2-32,6/15/15,10:07,27.87,85.72,4.1,NSC,Sindhupalchowk
3/1/72,6/16/15,16:11,27.7,86.16,4.1,NSC,Dolakha
3/2/72,6/17/15,0:13,27.68,85.28,4.4,NSC,Kathmandu
3/2/72,6/17/15,0:29,27.91,85.59,5.2,NSC,Sindhupalchowk
3/2/72,6/17/15,0:41,27.9,85.58,4,NSC,Sindhupalchowk
3/2/72,6/17/15,2:15,28.27,85.94,5.1,NSC,Tibet
3/3/72,6/18/15,2:39,28.14,85.11,4.1,NSC,Dhading
3/4/72,6/19/15,20:05,28.26,84.92,4,NSC,Gorkha
3/5/72,6/20/15,20:55,28.17,84.94,4.2,NSC,Gorkha
3/5/72,6/20/15,12:23,28.65,82.76,5.4,NSC,Rukum
3/6/72,6/21/15,13:41,27.8,86,4.3,NSC,Sindhupalchowk
3/7/72,6/22/15,7:34,27.67,86.17,4,NSC,Dolakha
3/9/72,6/24/15,9:14,27.85,85.75,4,NSC,Sindhupalchowk
3/10/72,6/25/15,18:06,27.94,85.49,4.2,NSC,Sindhupalchowk
3/10/72,6/25/15,18:04,27.66,86.21,4.1,NSC,Dolakha
3/10/72,6/25/15,15:22,27.78,85.17,4.3,NSC,Nuwakot
3/11/72,6/26/15,9:00,27.58,85.39,4.1,NSC,Lalitpur
3/11/72,6/26/15,12:17,27.74,86.28,4.2,NSC,Dolakha
3/13/72,6/28/15,16:16,27.92,85.66,4.3,NSC,Sindhupalchowk
3/14/72,6/29/15,23:57,27.35,86.2,5,NSC,Ramechhap
3/14/72,6/29/15,17:42,27.92,85.68,4.1,NSC,Sindhupalchowk
3/14/72,6/29/15,17:49,27.93,85.64,4,NSC,Sindhupalchowk
3/15/72,6/30/15,21:46,27.55,85.79,4.4,NSC,Kavre
3/16/72,7/1/15,21:48,27.8,85.74,4,NSC,Sindhupalchowk
3/16/72,7/1/15,3:27,27.71,86.12,4,NSC,Dolakha
3/16/72,7/1/15,9:39,28.06,85.14,4,NSC,Nuwakot
3/17/72,7/2/15,23:41,27.67,85.54,4.1,NSC,Kavre
3/17/72,7/2/15,1:56,27.97,85.62,5,NSC,Sindhupalchowk
3/19/72,7/4/15,20:04,27.73,85,4.6,NSC,Dhading
3/20/72,7/5/15,4:22,27.67,86.2,4.2,NSC,Dolakha
