B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
8/12/58,11/27/01,,29.52,81.99,5.2,RSC,Mugu
8/13/58,11/28/01,,29.59,81.77,4.5,RSC,Mugu
9/3/58,12/18/01,,29.58,81.8,4.8,RSC,Mugu
9/4/58,12/19/01,,23.83,89.88,4.8,NSC,Bangaladesh
10/21/58,2/3/02,,27.72,86.37,4.1,NSC,Dolakha
12/27/58,4/9/02,,27.46,86.174,4,NSC,Ramechhap
1/2/59,4/15/02,,26.87,86.31,4,NSC,Udayapur
1/19/59,5/2/02,,27.67,86.67,5.2,NSC,Solukhumbu
2/21/59,6/4/02,,30.71,81.34,6,NSC,Tibet
2/21/59,6/4/02,,28.79,80.53,4,NSC,Kanchanpur
2/22/59,6/5/02,,28.86,80.75,4,RSC,Kailali
2/24/59,6/7/02,,28.77,81.12,4,RSC,Kailali
2059-2-30,6/13/02,,28.23,84.86,4,NSC,Dhading
3/6/59,6/20/02,,25.63,88.38,5.5,NSC,Bangladesh
3/18/59,7/2/02,,27.17,84.82,4.1,NSC,Parsa
2059-3-32,7/16/02,,27.75,87.36,4.3,NSC,Sankhuwasava
4/26/59,8/11/02,,26.97,86.4,4.1,NSC,Udayapur
5/24/59,9/9/02,,28.98,28.98,4.1,NSC,Kailali
6/23/59,10/9/02,,28.18,83.9,4.1,NSC,Kaski
6/25/59,10/11/02,,28.28,83.94,4,NSC,Kaski
8/4/59,11/20/02,,29.61,81.56,4.4,RSC,Bajura
11/14/59,2/26/03,,28.47,86.01,5,NSC,Tibet
12/11/59,3/25/03,,27.18,89.59,5.7,NSC,Bhutan
12/15/59,3/29/03,,27.46,86.63,4,NSC,Tibet
12/21/59,4/4/03,,30.1,80.39,5,NSC,Pithoragarh
3/9/60,6/23/03,,27.79,87.97,4.8,NSC,Taplejung
4/12/60,7/28/03,,28.75,82.52,4.5,,Rukum
4/17/60,8/2/03,,29.51,82.1,4.4,NSC,Mugu
4/20/60,8/5/03,,27.99,86.03,4.2,NSC,Sidhupalchowk
6/7/60,9/24/03,,28.99,81.96,4.3,NSC,Dailekh
6/12/60,9/29/03,,27.52,87.86,4.6,NSC,Taplejung
7/12/60,10/29/03,,27.26,86.69,4,NSC,Khotang
7/19/60,11/5/03,,27.78,86.16,4.1,NSC,Dolakha
8/6/60,11/22/03,,28.47,83.91,5,NSC,Kaski
8/7/60,11/23/03,,28.45,83.94,4.5,NSC,Kaski
8/7/60,11/23/03,,28.41,83.97,3.6,NSC,Kaski
8/7/60,11/23/03,,28.3,83.88,4.4,NSC,Kaski
8/19/60,12/5/03,,28.4,83.93,4,NSC,Kaski
8/25/60,12/11/03,,29.85,80.54,4.1,NSC,Darchula
9/4/60,12/19/03,,27.06,87.97,4.2,NSC,Illam
9/19/60,1/3/04,,27.87,86.06,5.5,,"Listikot, Sindhupalchowk"
9/19/60,1/3/04,,27.76,86.07,4.5,NSC,"Listikot, Sindhupalchowk"
9/23/60,1/7/04,,28.07,85,4,NSC,"Darkha, Dhading"
10/19/60,2/2/04,,29.32,81.53,4.1,NSC,"Tolideval, Bajura"
11/2/60,2/14/04,,29.67,80.88,4.3,NSC,"Brahmajali, Bhajhang"
11/6/60,2/18/04,,27.61,87.8,4.7,NSC,"Amjilesa, Taplejung"
12/4/60,3/17/04,,27.67,87.82,4.1,NSC,"Amjilesa, Taplejung"
12/18/60,3/31/04,,27.18,87.63,4.6,NSC,"Isabun,Terathum"
2/16/61,5/29/04,,28.58,89.97,4.3,NSC,"Niseldhar, Baglung"
2/16/61,5/29/04,,28.55,82.96,4.9,NSC,"Niseldhar, Baglung"
2/16/61,5/29/04,,28.59,82.98,4.3,NSC,"Niseldhar, Baglung"
4/1/61,7/16/04,,28.32,84.06,4.6,NSC,"Ghalegaun, Kaski"
4/5/61,7/20/04,,27.96,85.88,4.5,NSC,"Listikot, Sindhupalchowk"
5/6/61,8/22/04,,28.03,85.24,4.1,NSC,"Kaseri, Rasuwa"
5/17/61,9/2/04,,27.87,85.93,4.2,NSC,"Listikot, Sindhupalchowk"
5/27/61,9/12/04,,29.51,81.84,4.4,NSC,"Shirkot, Mugu"
6/19/61,10/5/04,,26.83,86.55,4.1,NSC,"Simle, Udayapur"
7/24/61,11/9/04,,28.77,82.95,4.4,NSC,RahalGaun/Rukum 
8/2/61,11/17/04,,28.26,84.67,4.1,NSC,"Kharibot, Lamjung"
9/11/61,12/26/04,,29.9,81.63,4.3,NSC,"Sain, Bajura"
9/12/61,12/27/04,,27.76,86.2,4.2,NSC,"Nagpa, Dolakaha"
10/3/61,1/16/05,,29.68,81.14,5,NSC,Bajhang
10/3/61,1/16/05,,29.81,81.04,4.5,NSC,Bajhang
10/26/61,2/8/05,,27.76,86.07,5,NSC,Dolakha
11/22/61,3/5/05,,28.27,84.39,5,NSC,Lamjung
12/6/61,3/19/05,,28.25,84.39,5.4,NSC,Lamjung
12/16/61,3/29/05,,28.14,84.8,4.1,NSC,Gorkha
12/16/61,3/29/05,,28.11,84.77,4.4,NSC,Gorkha
12/16/61,3/29/05,,28.04,84.74,4,NSC,Gorkha
12/16/61,3/29/05,,28.15,84.37,4,NSC,Lamjung
12/22/61,4/4/05,,28.56,83.18,4.1,NSC,Myagdi
12/22/61,4/4/05,,28.54,83.31,4.1,NSC,Myagdi
12/25/61,4/7/05,,29.35,81.88,4.2,NSC,Kalikot
1/2/62,4/15/05,,27.92,85.71,4.1,NSC,Sindhupalchowk
1/22/62,5/5/05,,27.69,87.7,4.1,NSC,Taplejung
2062-2-32,6/14/05,,27.28,87.89,4.5,NSC,Tibet
4/12/62,7/27/05,,27.47,68.88,4.3,NSC,Solukhumbu
4/24/62,8/8/05,,27.98,85.51,4.2,NSC,Sindhupalchowk
5/12/62,8/28/05,,27.31,87.22,5.3,NSC,Sankhuwasava
7/12/62,10/29/05,,29.5,81.88,5.1,NSC,Mugu
7/14/62,10/31/05,,29.64,82.06,5.1,NSC,Mugu
7/14/62,10/31/05,,28.65,84.83,4.5,NSC,Gorkha
7/20/62,11/6/05,,29.61,82.02,5.1,NSC,Mugu
10/21/62,2/3/06,,27.18,86.8,5.4,NSC,Khotang
11/7/62,2/19/06,,28.24,83.89,4.7,NSC,Baglung
12/22/62,4/4/06,,27.91,85.83,4.6,NSC,Sindhupalchowk
1/22/63,5/5/06,,29.43,81.26,4.8,NSC,Bajhang
4/30/63,8/15/06,,27.89,85.7,4.3,NSC,Sindhupalchowk
5/14/63,8/30/06,,29.05,83.6,4.3,NSC,Mustang
6/1/63,9/17/06,,26.98,87.8,4.2,NSC,Illam
6/3/63,9/19/06,,29.62,81.54,5,NSC,Bajura
6/10/63,9/26/06,,30.1,80.83,4.5,NSC,Darchula
7/25/63,11/11/06,,27.21,87.63,4.2,NSC,Tehrathum
10/22/63,2/5/07,,30.1,81.05,4.2,NSC,Darchula
10/23/63,2/6/07,,28.35,83.43,4.1,NSC,Myagdi
10/23/63,2/6/07,,28.36,83.43,4.2,NSC,Myagdi
11/3/63,2/15/07,,29.83,81.45,5,NSC,Bajhang
11/26/63,3/10/07,,29.47,81.73,4.5,NSC,Bajhang
2/2/64,5/16/07,,27.5,88.08,4.6,NSC,Nepal-India Border
2/21/64,6/4/07,,27.44,83.89,4.2,NSC,Nepal-India Border
3/3/64,6/17/07,,27.83,84.91,4.3,NSC,Dhading
3/23/64,7/7/07,,28.08,85.3,4,NSC,Rasuwa
4/14/64,7/30/07,,27.27,87.02,4.1,NSC,Bhojpur
4/16/64,8/1/07,,29.49,81.91,4.6,NSC,Mugu
4/18/64,8/3/07,,27.24,87.02,4,NSC,Bhojpur
4/18/64,8/3/07,,27.21,87.97,4.4,NSC,Panchthar
4/18/64,8/3/07,,27.2,87.04,4.3,NSC,Bhojpur
4/18/64,8/3/07,,27.24,87.03,4.5,NSC,Bhojpur
4/21/64,8/6/07,,27.84,85.69,4.1,NSC,Sindhupalchowk
4/26/64,8/11/07,,27.28,87.9,5.2,NSC,Taplejung
5/21/64,9/7/07,,27.72,86.26,4.1,NSC,Dolakha
5/21/64,9/7/07,,28.05,85.33,4.2,NSC,Rasuwa
6/25/64,10/12/07,,27.75,86.12,4,NSC,Dolakha
7/12/64,10/29/07,,27.9,85.45,5,NSC,Nuwakot
7/19/64,11/5/07,,28.2,84.45,4.5,NSC,Lamjung
8/15/64,12/1/07,,28.05,85.28,4.1,NSC,Rasuwa
10/1/64,1/15/08,,27.37,86.53,4.1,NSC,Okhaldhunga
11/2/64,2/14/08,,27.8,86.53,4.1,NSC,Taplejung
11/4/64,2/16/08,,26.8,86.25,4.2,NSC,Siraha
11/19/64,3/2/08,,29.69,81.76,4.4,NSC,Humla
12/4/64,3/17/08,,29.76,81.53,4.6,NSC,Bajhang-Bajura border
1/26/65,5/8/08,,27.5,87.52,4.2,NSC,Taplejung
2/7/65,5/20/08,,28.33,83.33,4.3,NSC,Baglung
2/20/65,6/2/08,,27.8,85.91,4.1,NSC,Sindhupalchowk
3/1/65,6/15/08,,29.73,80.96,5,NSC,Darchula
3/6/65,6/20/08,,27.98,85.73,4.8,NSC,Sindhupalchowk
4/18/65,8/2/08,,28.18,85.29,4.4,NSC,Bajura
5/25/65,9/10/08,,28.4,83.01,4.1,NSC,Baglung
6/21/65,10/7/08,,27.47,87.71,4.5,NSC,Taplejung
8/16/65,12/1/08,,28.18,85.29,4.8,NSC,Rasuwa
8/17/65,12/2/08,,27.32,87.99,5.4,NSC,Taplejung
8/17/65,12/2/08,,27.3,88.03,4,NSC,Taplejung
8/17/65,12/2/08,,27.3,87.99,4,NSC,Taplejung
8/17/65,12/2/08,,27.29,87.92,4.3,NSC,Taplejung
8/17/65,12/2/08,,27.34,87.92,4.1,NSC,Taplejung
8/23/65,12/8/08,,30.15,81.86,6,NSC,Humla
9/4/65,12/19/08,,30.1,81.91,4.4,NSC,Humla
9/8/65,12/23/08,,28.19,84.39,4.4,NSC,Lamjung
9/11/65,12/26/08,,30.09,81.9,4.5,NSC,Humla
9/14/65,12/29/08,,30.13,82.03,4,NSC,Humla
9/26/65,1/10/09,,27.9,88.04,4.2,NSC,Taplejung
10/10/65,1/23/09,,29.05,81.4,4.2,NSC,Achham
11/25/65,3/8/09,,27.41,87.8,4.5,NSC,Taplejung
11/29/65,3/12/09,,28.43,84.42,4.1,NSC,Lamjung
12/31/65,4/13/09,,28.3,84.55,4,NSC,Lamjung
12/31/65,4/13/09,,28.25,84.54,4.3,NSC,Lamjung
1/31/66,5/14/09,,27.48,87.36,4.6,NSC,Sankhuwasava
1/31/66,5/14/09,,27.43,87.35,4.2,NSC,Sankhuwasava
3/28/66,7/12/09,,27.71,86.36,4.3,NSC,Dolakha
4/18/66,8/2/09,,28.12,85.18,4,NSC,Rasuwa
6/10/66,9/26/09,,29.81,82.05,4.3,NSC,Humla
7/12/66,10/29/09,,28.73,83.11,4.1,NSC,Rukum
7/15/66,11/1/09,,30.1,81.81,4.5,NSC,Humla
7/16/66,11/2/09,,27.87,87.94,4,NSC,Taplejung
7/22/66,11/8/09,,30.11,81.91,4.3,NSC,Humla
8/7/66,11/22/09,,29.02,82.15,4.5,NSC,Jajarkot
8/30/66,12/15/09,,28.28,84.4,4.1,NSC,Lamjung
9/1/66,12/16/09,,29.6,81.51,4.6,NSC,Bajura
10/4/66,1/18/10,,28.37,83.97,4.1,NSC,Kaski
11/5/66,2/17/10,,26.79,86.08,4.1,NSC,Dhanusa
11/13/66,2/25/10,,29.78,81.52,4.6,NSC,Bajhang
11/16/66,2/28/10,,28.4,81.52,4.1,NSC,Baglung
11/17/66,3/1/10,,29.76,83.11,4.3,NSC,Bajura
12/31/66,4/13/10,,29.37,81.34,4.5,NSC,Bajura
1/1/67,4/14/10,,28.31,83.09,4.2,NSC,Baglung
1/17/67,4/30/10,,27.75,86.36,4,NSC,Dolakha
1/30/67,5/13/10,,28.3,84.51,4.2,NSC,Lamjung
2067-2-30,6/13/10,,28.01,86.77,4,NSC,Solukhumbu
2067-2-30,6/13/10,,29.4,81.38,4.5,NSC,Bajura
2067-2-30,6/13/10,,29.6,81.65,4.8,NSC,Bajura
5/16/67,9/1/10,,28.23,84.37,4,NSC,Lamjung
2067-6-31,10/17/10,,28.64,85.71,5,NSC,Tibet
8/9/67,11/25/10,,28.44,83.17,4.7,NSC,Baglung
8/9/67,11/25/10,,28.38,82.32,4.5,NSC,Salyan
8/14/67,11/30/10,,26.93,85.79,4.4,NSC,Mahottari
8/19/67,12/5/10,,29.57,81.699,4.2,NSC,Bajura
9/3/67,12/18/10,,28.18,84.79,4.1,NSC,Gorkha
10/4/67,1/18/11,,30.03,81.97,4.1,NSC,Humla
10/4/67,1/18/11,,27.8,85.94,4.3,NSC,Sindhupalchowk
11/1/67,2/13/11,,27.47,87.01,4.7,NSC,Bhojpur-Sankhuwasabha border
11/10/67,2/22/11,,27.57,87.01,4.2,NSC,Sankhuwasabha
11/26/67,3/10/11,,28.02,85.24,4.3,NSC,Rasuwa
11/27/67,3/11/11,,28.31,83.8,4.3,NSC,Kaski
11/28/67,3/12/11,,28.31,83.78,4.4,NSC,Kaski
12/8/67,3/22/11,,28.35,83.96,4,NSC,Kaski
12/8/67,3/22/11,,28.11,82.74,4.2,NSC,Pyuthan
12/21/67,4/4/11,,29.92,80.54,5.7,NSC,Darchula
12/21/67,4/4/11,,30,80.81,4.1,NSC,Darchula
12/22/67,4/5/11,,29.74,80.37,4.1,NSC,Darchula
12/24/67,4/7/11,,27.93,85.61,4.1,NSC,Sindhupalchowk
2/20/68,6/3/11,,27.6,88.03,5.2,NSC,Taplejung
2/28/68,6/11/11,,28.41,82.66,4.2,NSC,Rolpa
2/28/68,6/11/11,,28.4,82.55,4.1,NSC,Rolpa
3/3/68,6/17/11,,30.24,81.48,4.2,NSC,Humla
3/4/68,6/18/11,,27.83,87.35,4.3,NSC,Sankhuwasabha
3/31/68,7/15/11,,27.28,87.3,4.5,NSC,Sankhuwasabha
4/13/68,7/29/11,,27.19,86.76,4.2,NSC,Khotang
4/17/68,8/2/11,,27.35,86.35,4,NSC,Khotang
4/24/68,8/9/11,,29.9,81.31,4.3,NSC,Bajhang
4/30/68,8/15/11,,27.44,86.27,5,NSC,Ramechhap
5/1/68,8/18/11,,28.21,84.31,4,NSC,Lamjung
5/2/68,8/19/11,,29.7,81.34,4.9,NSC,Bajhang
5/5/68,8/22/11,,28.29,83.96,4,NSC,Kaski
